Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44 - 59 (Gen X),Stay,Travel_Rarely,700 - 799 ($),Research & Development,25-29 km ,Master,Life Sciences,High,Female,80 - 89 ($),High,Entry Level,Laboratory Technician,Low,Married,3000 - 3999 ($),22000 - 23999 ($),0-1,No,14%,Excellent,Very High,1%,6-10 years,3,Good,6-10 years,6-10 years,0-1 years,2-5 years
12 - 27 (Gen Z),Leave,Travel_Rarely,300 - 399 ($),Research & Development,20-24 km,College,Technical Degree,High,Male,50 - 59 ($),Medium,Entry Level,Laboratory Technician,Low,Divorced,2000 - 2999 ($),10000 - 11999 ($),0-1,No,14%,Excellent,Medium,3%,0-5 years,3,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,10-14 km,Master,Medical,High,Female,90 - 100 ($),Medium,Senior Level,Manager,Medium,Divorced,17000 - 17999 ($),16000 - 17999 ($),4-5,Yes,13%,Excellent,Very High,2%,20+ years,4,Better,10++,6-10 years,10++,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,800 - 899 ($),Human Resources,5-9 km,College,Medical,Medium,Male,50 - 59 ($),High,Entry Level,Human Resources,High,Married,2000 - 2999 ($),24000 - 25999 ($),4-5,No,17%,Excellent,Very High,0%,6-10 years,2,Good,2-5 years,2-5 years,2-5 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,1100 - 1199 ($),Human Resources,25-29 km ,Master,Life Sciences,Very High,Female,90 - 100 ($),High,Executive Level,Manager,High,Married,19000 - 19999 ($),4000 - 5999 ($),2-3,No,11%,Excellent,High,1%,20+ years,2,Better,2-5 years,2-5 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1400 - 1499 ($),Research & Development,10-14 km,Below College,Life Sciences,High,Male,60 - 69 ($),High,Junior Level,Healthcare Representative,Very High,Married,6000 - 6999 ($),4000 - 5999 ($),0-1,Yes,17%,Excellent,Low,1%,10-20 years,2,Good,10++,6-10 years,2-5 years,10++
28 - 43 (Millennials),Stay,Travel_Rarely,800 - 899 ($),Research & Development,5-9 km,Master,Life Sciences,High,Male,40 - 49 ($),High,Junior Level,Laboratory Technician,High,Divorced,3000 - 3999 ($),10000 - 11999 ($),0-1,No,13%,Excellent,Low,3%,6-10 years,4,Good,6-10 years,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Human Resources,0-4 km,Bachelor,Human Resources,High,Male,30 - 39 ($),Very High,Entry Level,Human Resources,High,Married,2000 - 2999 ($),6000 - 7999 ($),0-1,No,13%,Excellent,Very High,1%,6-10 years,2,Best,6-10 years,6-10 years,2-5 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Frequently,1400 - 1499 ($),Sales,0-4 km,Bachelor,Technical Degree,Low,Male,90 - 100 ($),High,Entry Level,Sales Representative,High,Married,2000 - 2999 ($),14000 - 15999 ($),2-3,No,15%,Excellent,Very High,1%,20+ years,3,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,100 - 199 ($),Research & Development,0-4 km,Master,Life Sciences,High,Male,30 - 39 ($),High,Entry Level,Research Scientist,Very High,Divorced,2000 - 2999 ($),6000 - 7999 ($),0-1,Yes,18%,Excellent,Medium,1%,0-5 years,2,Bad,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,800 - 899 ($),Sales,0-4 km,Doctor,Medical,Very High,Female,40 - 49 ($),High,Junior Level,Sales Executive,Very High,Single,6000 - 6999 ($),14000 - 15999 ($),2-3,No,15%,Excellent,Medium,0%,6-10 years,6,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Bachelor,Medical,Low,Male,30 - 39 ($),High,Junior Level,Manufacturing Director,Very High,Married,6000 - 6999 ($),10000 - 11999 ($),0-1,Yes,22%,Outstanding,Medium,1%,6-10 years,3,Better,6-10 years,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,25-29 km ,Bachelor,Technical Degree,Very High,Male,80 - 89 ($),Very High,Entry Level,Laboratory Technician,Medium,Divorced,4000 - 4999 ($),4000 - 5999 ($),2-3,No,12%,Excellent,High,1%,6-10 years,0,Better,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,100 - 199 ($),Sales,0-4 km,Bachelor,Medical,Medium,Male,40 - 49 ($),High,Junior Level,Sales Executive,High,Married,4000 - 4999 ($),8000 - 9999 ($),0-1,No,15%,Excellent,Medium,0%,20+ years,3,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,200 - 299 ($),Sales,5-9 km,Master,Life Sciences,Medium,Male,70 - 79 ($),Low,Junior Level,Sales Executive,High,Married,6000 - 6999 ($),20000 - 21999 ($),2-3,Yes,18%,Excellent,Medium,0%,10-20 years,3,Good,6-10 years,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,300 - 399 ($),Sales,5-9 km,Master,Marketing,Very High,Male,50 - 59 ($),High,Entry Level,Sales Representative,Medium,Married,3000 - 3999 ($),8000 - 9999 ($),4-5,No,15%,Excellent,Very High,1%,0-5 years,2,Better,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,0-4 km,Bachelor,Medical,High,Male,40 - 49 ($),Very High,Mid Level,Healthcare Representative,Very High,Divorced,9000 - 9999 ($),10000 - 11999 ($),0-1,No,17%,Excellent,Low,3%,10-20 years,5,Good,10++,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,800 - 899 ($),Research & Development,15-19 km,Bachelor,Medical,Low,Male,80 - 89 ($),Very High,Entry Level,Laboratory Technician,Medium,Married,2000 - 2999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,High,1%,6-10 years,5,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,300 - 399 ($),Sales,5-9 km,College,Life Sciences,Medium,Male,40 - 49 ($),High,Junior Level,Sales Executive,Medium,Married,6000 - 6999 ($),8000 - 9999 ($),0-1,No,14%,Excellent,Very High,1%,6-10 years,3,Better,6-10 years,6-10 years,2-5 years,2-5 years
12 - 27 (Gen Z),Leave,Travel_Rarely,1300 - 1399 ($),Research & Development,20-24 km,Bachelor,Medical,Low,Male,30 - 39 ($),High,Entry Level,Laboratory Technician,High,Divorced,2000 - 2999 ($),18000 - 19999 ($),0-1,No,20%,Outstanding,High,1%,0-5 years,0,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Research & Development,0-4 km,Bachelor,Life Sciences,High,Male,90 - 100 ($),Medium,Junior Level,Healthcare Representative,Very High,Married,4000 - 4999 ($),14000 - 15999 ($),0-1,No,19%,Excellent,Low,3%,10-20 years,3,Better,10++,6-10 years,6-10 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Sales,10-14 km,College,Life Sciences,Low,Female,90 - 100 ($),High,Junior Level,Sales Executive,Very High,Married,5000 - 5999 ($),4000 - 5999 ($),0-1,No,11%,Excellent,High,1%,6-10 years,1,Better,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Human Resources,0-4 km,Bachelor,Life Sciences,High,Male,40 - 49 ($),High,Entry Level,Human Resources,High,Divorced,2000 - 2999 ($),14000 - 15999 ($),0-1,No,21%,Outstanding,Low,1%,6-10 years,3,Best,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,200 - 299 ($),Research & Development,20-24 km,Bachelor,Life Sciences,Very High,Male,40 - 49 ($),Medium,Mid Level,Manufacturing Director,High,Single,9000 - 9999 ($),8000 - 9999 ($),0-1,No,21%,Outstanding,Medium,0%,6-10 years,2,Better,6-10 years,6-10 years,0-1 years,6-10 years
12 - 27 (Gen Z),Stay,Travel_Rarely,1300 - 1399 ($),Sales,20-24 km,Below College,Technical Degree,High,Male,40 - 49 ($),High,Entry Level,Sales Representative,High,Single,3000 - 3999 ($),24000 - 25999 ($),0-1,No,11%,Excellent,High,0%,0-5 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,5-9 km,Bachelor,Other,High,Male,50 - 59 ($),High,Mid Level,Manufacturing Director,High,Single,10000 - 10999 ($),18000 - 19999 ($),2-3,No,21%,Outstanding,Medium,0%,10-20 years,3,Best,6-10 years,2-5 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,200 - 299 ($),Sales,5-9 km,Bachelor,Marketing,High,Male,50 - 59 ($),High,Executive Level,Manager,High,Married,19000 - 19999 ($),18000 - 19999 ($),2-3,Yes,16%,Excellent,High,1%,20+ years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Frequently,400 - 499 ($),Research & Development,10-14 km,Master,Life Sciences,High,Male,40 - 49 ($),Very High,Junior Level,Manufacturing Director,Very High,Divorced,4000 - 4999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,Low,1%,6-10 years,3,Better,6-10 years,6-10 years,6-10 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Frequently,1400 - 1499 ($),Research & Development,0-4 km,Bachelor,Life Sciences,High,Female,80 - 89 ($),High,Junior Level,Manufacturing Director,Medium,Divorced,6000 - 6999 ($),26000 - 27999 ($),0-1,No,20%,Outstanding,Low,1%,6-10 years,6,Bad,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Frequently,500 - 599 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Medium,Male,90 - 100 ($),High,Entry Level,Laboratory Technician,Very High,Married,3000 - 3999 ($),20000 - 21999 ($),4-5,Yes,13%,Excellent,High,1%,6-10 years,2,Bad,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,200 - 299 ($),Research & Development,5-9 km,Bachelor,Medical,Medium,Male,40 - 49 ($),Medium,Entry Level,Research Scientist,Medium,Married,2000 - 2999 ($),4000 - 5999 ($),0-1,No,12%,Excellent,Medium,1%,6-10 years,3,Good,6-10 years,2-5 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,0-4 km,Bachelor,Medical,High,Female,70 - 79 ($),High,Entry Level,Laboratory Technician,Medium,Married,2000 - 2999 ($),2000 - 3999 ($),0-1,No,13%,Excellent,High,1%,6-10 years,4,Better,6-10 years,0-1 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Sales,10-14 km,Bachelor,Marketing,Very High,Male,50 - 59 ($),High,Junior Level,Sales Executive,Very High,Single,5000 - 5999 ($),20000 - 21999 ($),0-1,No,12%,Excellent,Very High,0%,6-10 years,2,Good,6-10 years,6-10 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1300 - 1399 ($),Research & Development,0-4 km,Master,Life Sciences,Very High,Male,60 - 69 ($),Medium,Entry Level,Research Scientist,High,Divorced,2000 - 2999 ($),8000 - 9999 ($),2-3,No,12%,Excellent,High,1%,10-20 years,3,Better,6-10 years,2-5 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,500 - 599 ($),Research & Development,5-9 km,Master,Life Sciences,Very High,Female,70 - 79 ($),High,Mid Level,Manager,Medium,Married,11000 - 11999 ($),22000 - 23999 ($),4-5,No,11%,Excellent,Medium,2%,10-20 years,2,Better,6-10 years,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,College,Medical,Low,Female,60 - 69 ($),High,Junior Level,Manufacturing Director,Very High,Divorced,5000 - 5999 ($),6000 - 7999 ($),2-3,No,13%,Excellent,High,3%,10-20 years,2,Better,2-5 years,0-1 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Sales,5-9 km,Below College,Life Sciences,Very High,Male,70 - 79 ($),High,Entry Level,Sales Representative,High,Married,2000 - 2999 ($),16000 - 17999 ($),0-1,No,13%,Excellent,Low,1%,0-5 years,3,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,900 - 999 ($),Research & Development,0-4 km,Bachelor,Life Sciences,Very High,Male,30 - 39 ($),Low,Entry Level,Laboratory Technician,High,Married,3000 - 3999 ($),24000 - 25999 ($),2-3,No,21%,Outstanding,High,2%,6-10 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,5-9 km,Bachelor,Medical,Medium,Female,70 - 79 ($),Medium,Entry Level,Research Scientist,Medium,Married,3000 - 3999 ($),10000 - 11999 ($),2-3,Yes,20%,Outstanding,Medium,1%,6-10 years,3,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Rarely,600 - 699 ($),Sales,0-4 km,Master,Life Sciences,Low,Male,40 - 49 ($),Medium,Mid Level,Sales Executive,High,Married,10000 - 10999 ($),14000 - 15999 ($),2-3,No,11%,Excellent,High,0%,10-20 years,2,Bad,10++,0-1 years,10++,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,25-29 km ,College,Technical Degree,Very High,Female,40 - 49 ($),Medium,Senior Level,Research Director,Medium,Single,16000 - 16999 ($),16000 - 17999 ($),0-1,No,11%,Excellent,High,0%,20+ years,2,Better,10++,6-10 years,6-10 years,6-10 years
44 - 59 (Gen X),Stay,Non-Travel,500 - 599 ($),Sales,25-29 km ,Master,Life Sciences,Low,Male,40 - 49 ($),High,Entry Level,Sales Representative,Very High,Divorced,3000 - 3999 ($),18000 - 19999 ($),2-3,No,15%,Excellent,Medium,2%,10-20 years,3,Good,6-10 years,6-10 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1300 - 1399 ($),Research & Development,5-9 km,College,Life Sciences,High,Female,70 - 79 ($),High,Entry Level,Laboratory Technician,Very High,Single,2000 - 2999 ($),6000 - 7999 ($),0-1,No,12%,Excellent,High,0%,0-5 years,3,Better,2-5 years,2-5 years,2-5 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Rarely,1300 - 1399 ($),Sales,5-9 km,Bachelor,Marketing,Low,Female,80 - 89 ($),Low,Junior Level,Sales Executive,High,Single,5000 - 5999 ($),8000 - 9999 ($),4-5,No,13%,Excellent,Medium,0%,6-10 years,2,Good,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Rarely,700 - 799 ($),Sales,20-24 km,Below College,Medical,Medium,Female,30 - 39 ($),Medium,Junior Level,Sales Representative,High,Married,3000 - 3999 ($),6000 - 7999 ($),0-1,No,21%,Outstanding,Very High,1%,6-10 years,5,Better,6-10 years,6-10 years,2-5 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Frequently,300 - 399 ($),Research & Development,25-29 km ,College,Medical,Very High,Female,50 - 59 ($),Very High,Senior Level,Manufacturing Director,High,Married,13000 - 13999 ($),8000 - 9999 ($),2-3,Yes,11%,Excellent,Medium,1%,20+ years,3,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,200 - 299 ($),Research & Development,0-4 km,College,Medical,High,Female,40 - 49 ($),Medium,Junior Level,Laboratory Technician,Low,Married,4000 - 4999 ($),22000 - 23999 ($),2-3,No,25%,Outstanding,Low,1%,6-10 years,3,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,1400 - 1499 ($),Sales,0-4 km,Doctor,Marketing,Medium,Female,70 - 79 ($),High,Junior Level,Sales Executive,Low,Divorced,5000 - 5999 ($),4000 - 5999 ($),2-3,Yes,21%,Outstanding,High,1%,6-10 years,2,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,100 - 199 ($),Research & Development,0-4 km,Bachelor,Life Sciences,High,Male,70 - 79 ($),Medium,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),8000 - 9999 ($),2-3,No,17%,Excellent,Low,1%,6-10 years,6,Better,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,600 - 699 ($),Sales,20-24 km,Bachelor,Life Sciences,Very High,Female,70 - 79 ($),High,Senior Level,Manager,Very High,Married,17000 - 17999 ($),10000 - 11999 ($),2-3,Yes,13%,Excellent,High,1%,20+ years,2,Good,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Leave,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Bachelor,Medical,Low,Female,60 - 69 ($),Very High,Entry Level,Laboratory Technician,High,Divorced,3000 - 3999 ($),16000 - 17999 ($),4-5,No,12%,Excellent,Medium,1%,0-5 years,0,Good,2-5 years,2-5 years,2-5 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,900 - 999 ($),Research & Development,20-24 km,College,Medical,High,Female,30 - 39 ($),High,Junior Level,Manufacturing Director,High,Divorced,5000 - 5999 ($),16000 - 17999 ($),2-3,No,16%,Excellent,Medium,1%,10-20 years,5,Better,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Stay,Travel_Rarely,500 - 599 ($),Sales,0-4 km,Bachelor,Other,Very High,Male,60 - 69 ($),High,Junior Level,Sales Executive,Medium,Married,4000 - 4999 ($),16000 - 17999 ($),0-1,No,19%,Excellent,Medium,1%,6-10 years,3,Best,6-10 years,6-10 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Sales,10-14 km,College,Medical,High,Female,80 - 89 ($),High,Junior Level,Sales Executive,Very High,Divorced,6000 - 6999 ($),20000 - 21999 ($),2-3,Yes,11%,Excellent,Very High,1%,6-10 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
